recipe_id,branch_id,type,sort_order,stage_from,stage_to,input_stone_id,input_stone_name,input_item_id,input_item_name,output_stone_id,output_stone_name,story,review_title,review_url
recipe_basic_gray,basic,0,0,0,0,,,,,basic_gray,探索型小石,牠是最普通、也最有可能性的小石，身上還沒有長出明確的方向。每一次逛攤位、問問題或認識新朋友，都可能讓牠展開一條潛力無窮的路。,,
recipe_basic_blue,basic,3,1,0,0,,,,,basic_blue,工程型小石,牠體內藏著潛力無窮的工程能量，還沒有固定成任何工具或系統。只要遇到問題，牠就會安靜觀察，準備把混亂拆成可以一步一步解開的形狀。,,
recipe_basic_purple,basic,2,2,0,0,,,,,basic_purple,共鳴型小石,牠是一顆潛力無窮的共鳴小石，還在等待遇見能一起發聲的夥伴。每一次分享、傾聽和互相幫忙，都可能讓牠長出新的連結方式。,,
recipe_basic_orange,basic,4,3,0,0,,,,,basic_orange,娛樂型小石,牠帶著潛力無窮的舞台感，還不知道自己會成為表演者、主持人，還是點亮氣氛的人。只要有人願意參與，牠就會把笑聲、勇氣和回憶收進身上。,,
recipe_basic_yellow,basic,1,4,0,0,,,,,basic_yellow,靈光型小石,牠閃著一點點還沒成形的靈光，像一顆潛力無窮的想法種子。當問題還沒有答案時，牠會先亮起來，提醒大家下一個入口可能就在附近。,,
recipe_resonance_2024_community_handshake_s1_s2,branch_2024_star_village_exchange,2,17,1,2,basic_purple,共鳴型小石,item_student_community_card,學生社群卡,stone_community_handshake,社群握手小石,牠第一次伸手時有點緊張，但對方也剛好想認識新朋友。兩隻手碰在一起，小隊基地就多了一段可以回看的連結。,開源星手村議程,https://sitcon.org/2024/agenda/5b0c91/
recipe_resonance_2024_star_village_exchange_s2_s3,branch_2024_star_village_exchange,2,18,2,3,stone_community_handshake,社群握手小石,item_star_village_badge,星手村徽章,stone_star_village_exchange,星手村交流小石,牠把不同學生社群的故事排成一張地圖，最後沒有真正分出誰比較厲害。因為每一場交流結束後，大家都多帶走了一點經驗。,開源星手村議程,https://sitcon.org/2024/agenda/5b0c91/
recipe_resonance_consensus_draft_s1_s2,branch_student_autonomy,2,19,1,2,basic_purple,共鳴型小石,item_charter_draft,章程草稿,stone_consensus_draft,共識草稿小石,牠把大家七嘴八舌的意見整理成一份還能修改的草稿。每個人都留下一點痕跡，規則才不只是某個人的決定。,社團經營不再靠通靈：SITCON 教你用開源思維升級領導技能,https://sitcon.org/2026/agenda/aef34b/
recipe_resonance_student_autonomy_s2_s3,branch_student_autonomy,2,20,2,3,stone_consensus_draft,共識草稿小石,item_transparent_proposal,透明提案,stone_student_autonomy,學生自治小石,牠開始想像學生自治也能被公開討論、共同維護。每一次投票或提案，都像把社群往透明的方向推一點。,社團經營不再靠通靈：SITCON 教你用開源思維升級領導技能,https://sitcon.org/2026/agenda/aef34b/
recipe_resonance_contribution_s1_s2,branch_open_source_route,2,21,1,2,basic_purple,共鳴型小石,item_contribution_sticker,貢獻貼紙,stone_contribution,貢獻小石,牠第一次送出貢獻時，只改了一個小地方。可是有人說謝謝之後，牠發現開源不是距離很遠的大事。,開源社群探險議程,https://sitcon.org/2024/agenda/e58595/
recipe_resonance_open_source_route_s2_s3,branch_open_source_route,2,22,2,3,stone_contribution,貢獻小石,item_open_source_roadmap,開源路線圖,stone_open_source_route,Open Source 路線小石,牠沿著 issue、commit、review 一路往前走，慢慢看懂社群如何協作。路線不一定直，但每一步都有人可以一起走。,開源社群探險議程,https://sitcon.org/2024/agenda/e58595/
recipe_resonance_2020_tour_flag_s1_s2,branch_2020_tour_group,2,23,1,2,basic_purple,共鳴型小石,item_tour_flag,導遊旗,stone_2020_tour_flag,2020 導遊旗小石,牠舉起小旗子，帶第一次參加 SITCON 的人認識年會攤位和工作人員。總會讓人想開口問問題。,SITCON 2020,https://sitcon.org/2020/
recipe_resonance_2020_tour_group_s2_s3,branch_2020_tour_group,2,24,2,3,stone_2020_tour_flag,2020 導遊旗小石,item_venue_route,會場路線,stone_2020_sitcon_tour_group,2020 SITCON 導遊團小石,牠把一群陌生人帶成一小隊，從攤位走到議程，再走到新的朋友身邊。導覽結束後，大家手上多了地圖，心裡也多了方向。,SITCON 2020,https://sitcon.org/2020/
recipe_engineering_docker_s1_s2,branch_kubernetes_devops_sre,3,25,1,2,basic_blue,工程型小石,item_container_sticker,容器貼紙,stone_docker,Docker 小石,牠把環境裝進小小的容器裡，終於不用再說「我這邊可以跑」。每次啟動成功，牠都會安心地點一下頭。,SITCON 2024 Kubernetes、DevOps 和 SRE,https://sitcon.org/2024/agenda/2de5e9/
recipe_engineering_kubernetes_s2_s3,branch_kubernetes_devops_sre,3,26,2,3,stone_docker,Docker 小石,item_cluster_core,叢集核心,stone_kubernetes,Kubernetes 小石,牠不再只照顧一個容器，而是開始管理一整群忙碌的小服務。混亂沒有消失，但牠學會讓混亂有秩序地運轉。,SITCON 2024 Kubernetes、DevOps 和 SRE,https://sitcon.org/2024/agenda/2de5e9/
recipe_engineering_gpg_s1_s2,branch_gpg_crypto_gatekeeper,3,27,1,2,basic_blue,工程型小石,item_public_key_tag,公鑰吊牌,stone_gpg,GPG 小石,牠把訊息封進信封前，先確認鑰匙是不是交到對的人手上。安全不是神祕咒語，而是一連串可以被驗證的動作。,GPG 議程,https://sitcon.org/2024/agenda/3cdcb1/
recipe_engineering_crypto_gatekeeper_s2_s3,branch_gpg_crypto_gatekeeper,3,28,2,3,stone_gpg,GPG 小石,item_signature_inkpad,簽章印泥,stone_crypto_gatekeeper,加密守門員小石,牠站在資料門口，一邊檢查簽章，一邊提醒大家不要把信任交給直覺。每一次驗證，都是替社群多守住一點安心。,GPG 議程,https://sitcon.org/2024/agenda/3cdcb1/
recipe_engineering_test_s1_s2,branch_test_clean_code,3,29,1,2,basic_blue,工程型小石,item_test_sticker,測試貼紙,stone_test,測試小石,牠在每次改動前都先放下一個小小測試，像替未來的自己留路標。失敗的紅燈不會讓牠沮喪，只會告訴牠問題在哪裡。,寫測試議程,https://sitcon.org/2024/agenda/d000a0/
recipe_engineering_clean_code_s2_s3,branch_test_clean_code,3,30,2,3,stone_test,測試小石,item_clean_spec,整潔規格書,stone_clean_code,Clean Code 小石,牠把可以動的程式整理成別人也看得懂的樣子。程式碼變乾淨之後，下一個接手的人終於不用先深呼吸。,Clean Code 議程,https://sitcon.org/2024/agenda/02dc3b/
recipe_engineering_terminal_s1_s2,branch_terminal_system_intern,3,31,1,2,basic_blue,工程型小石,item_terminal_cursor,終端機游標,stone_terminal,終端機小石,牠盯著黑底白字的畫面，慢慢覺得命令列其實沒有那麼可怕。每輸入一行指令，牠就多理解一點工具和系統的關係。,十倍開發！解脫雙手拋棄滑鼠的開發環境,https://sitcon.org/2026/agenda/c1d927/
recipe_engineering_system_intern_s2_s3,branch_terminal_system_intern,3,32,2,3,stone_terminal,終端機小石,item_system_docs,系統文件,stone_system_intern,系統實習小石,牠從文件、原始碼和社群對話中學會真正的實習不是只完成任務。它更像走進一個系統，理解它如何被很多人一起維護。,上線是起點：觀測×重構×擴充的系統迭代術,https://sitcon.org/2026/agenda/d06ebf/
recipe_entertainment_microphone_s1_s2,branch_lightning_talk,4,33,1,2,basic_orange,娛樂型小石,item_microphone,麥克風,stone_microphone,麥克風小石,牠站上舞台時還有點發抖，但第一句話說出口後，燈光就沒有那麼刺眼了。分享不一定完美，但會讓想法開始流動。,Lightning Talk 議程,https://sitcon.org/2024/agenda/0e35dc/
recipe_entertainment_lightning_talk_s2_s3,branch_lightning_talk,4,34,2,3,stone_microphone,麥克風小石,item_lightning_talk_script,閃電講稿,stone_lightning_talk,Lightning Talk 小石,牠把一個很大的故事壓進短短幾分鐘，留下最亮的那一段。時間一到，掌聲提醒牠勇氣也可以很精簡。,Lightning Talk 議程,https://sitcon.org/2024/agenda/0e35dc/
recipe_entertainment_p5js_s1_s2,branch_p5js_tech_art,4,35,1,2,basic_orange,娛樂型小石,item_canvas_code,畫布程式碼,stone_p5js,p5.js 小石,牠把程式寫成會動的圖案，第一次發現錯誤訊息也可能通往作品。螢幕亮起來時，技術忽然變得很像舞台。,p5.js 議程,https://sitcon.org/2024/agenda/f01c4f/
recipe_entertainment_tech_art_s2_s3,branch_p5js_tech_art,4,36,2,3,stone_p5js,p5.js 小石,item_pixel_paint,像素顏料,stone_tech_art,科技藝術小石,牠把座標、顏色和互動揉在一起，做出一個會回應人的小世界。原來創作也可以是理解技術的一種方式。,p5.js 議程,https://sitcon.org/2024/agenda/f01c4f/
recipe_entertainment_espresso_s1_s2,branch_espresso_ten_minutes,4,37,1,2,basic_orange,娛樂型小石,item_espresso_cup,Espresso 杯,stone_espresso,Espresso 小石,牠把想講的內容濃縮成一小杯，苦一點但很醒腦。短短十分鐘，也能讓人帶走一個新問題。,SITCON 2024 CFP,https://sitcon.org/2024/cfp/normal/
recipe_entertainment_2024_ribbon_s1_s2,branch_2024_polaroid_night,4,39,1,2,basic_orange,娛樂型小石,item_ribbon,彩帶,stone_2024_ribbon,2024 彩帶小石,牠把活動現場的笑聲、掌聲和混亂都捲進彩帶裡。每次彩帶散開，基地就多一點營隊的聲音。,SITCON 2024,https://sitcon.org/2024/
recipe_entertainment_2024_polaroid_s2_s3,branch_2024_polaroid_night,4,40,2,3,stone_2024_ribbon,2024 彩帶小石,item_polaroid_film,拍立得底片,stone_2024_last_night_polaroid,2024 最後一晚拍立得小石,把最後一晚的合照收進小小底片，連沒有說出口的感謝也一起留下。,SITCON 2024,https://sitcon.org/2024/
